timestamp,signal_type,long,short,confidence,timeframes,current_price,rsi_primary,rsi_secondary,rsi_tertiary,entry_price,stop_loss,take_profit_1,take_profit_2,take_profit_3,rr_ratio
2025-06-17 05:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,108520.2109375,105567.93725763909,108902.76039861092,109383.1960388804,109863.6316791499,0.29231202624177355
2025-06-17 06:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107703.609375,105792.54220617547,108869.87263757455,109424.04892407478,109978.22521057502,0.9002506961244058
2025-06-17 07:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,106796.7109375,105584.35564649956,108796.34953890443,109402.52718440465,110008.70482990486,2.14938332537348
2025-06-17 08:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107240.25,105951.21807799958,108767.44329934412,109411.95926034432,110056.47522134453,1.684759875437448
2025-06-17 09:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107177.8515625,105912.9591974282,108745.95702577468,109378.40320831058,110010.84939084649,1.7397145453444671
2025-06-17 10:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107485.46875,106120.0078125,108728.9321230004,109389.15335499802,110049.37458699565,1.3941699485621668
2025-06-17 11:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107591.3984375,106120.0078125,108739.77509323214,109380.70708544421,110021.6390776563,1.2160663643919938
2025-06-17 12:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107335.1328125,106090.05375553471,108740.72498378607,109363.26451226872,109985.80404075136,1.6289180100033325
2025-06-17 13:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,107121.2890625,105913.63975960365,108735.27412510088,109339.09877654906,109942.92342799723,1.8364683428624613
2025-06-17 14:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,106833.0,105640.16270088196,108735.29305151057,109331.71170106958,109928.1303506286,2.0947632195246446
2025-06-17 15:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,106763.46875,105599.46246331897,108743.69968254131,109325.70282588182,109907.70596922234,2.2012201353203977
2025-06-17 16:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,106568.546875,105440.40152843905,108755.5950015861,109319.66767486658,109883.74034814705,2.4386226546544894
2025-06-17 17:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,106159.828125,105033.21882997912,108835.04464796047,109398.34929547092,109961.65394298136,2.8745734522018913
2025-06-17 18:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,105952.7578125,104837.20543140918,108907.95293075863,109465.72912130404,110023.50531184945,3.1490868276117685
2025-06-17 19:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,105640.90625,104541.51274434423,109000.17593492522,109549.8726877531,110099.56944058099,3.5555662441552043
2025-06-17 20:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,105510.3515625,104431.48951260536,109042.90211849578,109582.3331434431,110121.76416839042,3.774330166994719
2025-06-17 21:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,105349.1484375,109067.96579742254,105076.72482757745,104536.9819561978,103997.23908481814,0.21839375336225805
2025-06-17 22:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104844.5078125,109040.95387776743,104762.26252848256,104196.83388005859,103631.40523163464,0.15433867667262235
2025-06-17 23:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104239.40625,108958.60650666183,104403.43021208816,103820.10695819448,103236.7837043008,0.08884965015282469
2025-06-18 00:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,103624.15625,108852.54159563215,103993.25840436784,103381.3298918237,102769.40137927957,0.04644385257088249
2025-06-18 01:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,103814.9296875,108670.03815375343,103705.23372124658,103074.3665087056,102443.49929616462,0.1525327773708577
2025-06-18 02:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104415.4609375,108517.75999774286,103528.69703350714,102886.42245668337,102244.1478798596,0.3727272093922148
2025-06-18 03:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104683.328125,108450.82506302549,103384.2936869745,102722.073879031,102059.85407108751,0.5205722202914054
2025-06-18 04:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104363.2421875,108316.92379885196,103230.49416989804,102570.75211609337,101911.01006228868,0.4533723874628565
2025-06-18 05:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104551.2421875,108153.0582169104,103131.69881433959,102478.80050098525,101825.9021876309,0.575387990278337
2025-06-18 06:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104228.4921875,107912.19328662509,103046.86608837493,102404.45548936732,101762.04489035971,0.49516414308585094
2025-06-18 07:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104557.2265625,107587.00698346278,103068.63520403721,102436.25058531587,101803.86596659452,0.7000428026101468
2025-06-18 08:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104840.34375,107272.70670920798,103133.456572042,102511.8114796579,101890.16638727378,0.9573128309355223
2025-06-18 09:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104776.15625,106964.36181374229,103207.2881862577,102594.27287725818,101981.25756825865,0.9971107874391597
2025-06-18 10:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104855.0625,106686.89999629592,103286.95625370409,102689.26737302596,102091.57849234782,1.1823074543202685
2025-06-18 11:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,105180.7734375,106404.84078723133,103410.74593151869,102827.82723874613,102244.90854597358,1.9222358959826211
2025-06-18 12:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105446.640625,103534.49833076322,106168.89776298677,106740.82449556129,107312.7512281358,0.676824038912782
2025-06-18 13:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105416.0625,103609.95847738537,106019.06105386463,106562.32784125525,107105.59462864586,0.63466186161074
2025-06-18 14:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104967.9375,106068.19747122543,103675.85083835397,103125.72085274126,102575.59086712854,1.6743466957240531
